Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Trade_PnL,Price_PnL,20d_Price_Vol,Std_PnL
313e_US1Com_10,US LONG BOND(CBT),fi-us,US1 Comdty,1999-09-30,1999-10-01,30.03125,30.84375,16550221.875000002,551.0,435256.25000000006,0.8125,0.6386985636927304,1.2721180948058046
313e_US1Com_11,US LONG BOND(CBT),fi-us,US1 Comdty,1999-10-06,1999-10-07,29.40625,29.59375,14589712.500000002,497.0,95906.25000000001,0.1875,0.6565945210946995,0.2855643688396803
313e_US1Com_12,US LONG BOND(CBT),fi-us,US1 Comdty,1999-10-08,1999-10-11,29.53125,29.53125,15625500.000000002,528.0,0.0,0.0,0.6484023254568829,0.0
313e_US1Com_13,US LONG BOND(CBT),fi-us,US1 Comdty,1999-10-13,1999-10-14,29.15625,28.53125,16933950.0,581.0,-365750.00000000006,-0.625,0.6071378468944081,-1.029420259660898
313e_US1Com_14,US LONG BOND(CBT),fi-us,US1 Comdty,1999-10-15,1999-10-18,28.15625,28.90625,17198637.5,603.0,438075.00000000006,0.75,0.6085330722319032,1.2324720450266435
313e_US1Com_15,US LONG BOND(CBT),fi-us,US1 Comdty,1999-10-21,1999-10-22,28.09375,27.84375,17552975.0,625.0,-161425.0,-0.25,0.6286080068817039,-0.3977041292238055
313e_NQ1Ind_5,NASDAQ 100 E-MINI,eq-us,NQ1 Index,1999-10-28,1999-10-29,5021.75,5103.75,36156600.0,360.0,546120.0,82.0,43.91902686823369,1.867072333957153
313e_US1Com_16,US LONG BOND(CBT),fi-us,US1 Comdty,1999-11-18,1999-11-19,31.0625,30.96875,21086621.875,681.0,-65278.12500000001,-0.09375,0.4845898292696385,-0.1934625828637337
313e_US1Com_17,US LONG BOND(CBT),fi-us,US1 Comdty,1999-11-22,1999-11-23,30.75,30.46875,22278918.75,719.0,-206971.87500000003,-0.28125,0.4862839083022208,-0.5783658377303446
313e_US1Com_18,US LONG BOND(CBT),fi-us,US1 Comdty,1999-11-30,1999-12-01,28.96875,29.21875,20699765.625,716.0,180125.0,0.25,0.40901136420963935,0.6112299605246717
313e_NQ1Ind_6,NASDAQ 100 E-MINI,eq-us,NQ1 Index,1999-12-08,1999-12-14,5747.75,5787.75,33976625.0,295.0,250010.0,40.0,55.180439659834484,0.7248945504346128
313e_US1Com_19,US LONG BOND(CBT),fi-us,US1 Comdty,1999-12-16,1999-12-17,28.8125,28.03125,17938662.5,623.0,-477812.50000000006,-0.78125,0.5239411118163133,-1.4911026876506988
313e_US1Com_20,US LONG BOND(CBT),fi-us,US1 Comdty,1999-12-20,1999-12-21,28.0625,27.4375,17729765.625,632.0,-400125.00000000006,-0.625,0.5294838094227132,-1.1803949221439394
313e_US1Com_21,US LONG BOND(CBT),fi-us,US1 Comdty,1999-12-22,1999-12-23,27.28125,27.25,18138931.25,661.0,-21278.125,-0.03125,0.535355652199642,-0.05837241069857317
313e_US1Com_22,US LONG BOND(CBT),fi-us,US1 Comdty,1999-12-27,1999-12-28,27.125,27.46875,19184000.0,704.0,243512.50000000003,0.34375,0.5365927165188243,0.6406162242195489
313e_US1Com_23,US LONG BOND(CBT),fi-us,US1 Comdty,2000-01-04,2000-01-05,26.03125,26.84375,18089981.25,694.0,527312.5,0.8125,0.5037151246579848,1.6130148971637004
313e_US1Com_24,US LONG BOND(CBT),fi-us,US1 Comdty,2000-01-12,2000-01-13,25.8125,25.59375,15030468.750000002,583.0,-131862.5,-0.21875,0.5891420047910428,-0.3713026710386851
313e_US1Com_25,US LONG BOND(CBT),fi-us,US1 Comdty,2000-01-20,2000-01-21,25.75,25.59375,15276937.500000002,594.0,-95906.25000000001,-0.15625,0.5753176861240263,-0.2715890781190339
313e_NQ1Ind_7,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-01-27,2000-02-02,6131.25,6222.25,16008850.0,130.0,224850.0,91.0,143.647045511596,0.633497192204026
313e_NQ1Ind_8,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-02-21,2000-02-24,6457.25,6692.25,18894590.0,146.0,731300.0,235.0,115.45841128667111,2.035364919551159
313e_US1Com_26,US LONG BOND(CBT),fi-us,US1 Comdty,2000-02-28,2000-02-29,31.1875,30.65625,16277456.250000002,521.0,-278162.5,-0.53125,0.722883921284264,-0.7349036053481307
313e_US1Com_27,US LONG BOND(CBT),fi-us,US1 Comdty,2000-03-01,2000-03-02,31.3125,31.09375,16220221.875000002,529.0,-118868.75000000001,-0.21875,0.6976136338062544,-0.31356898632625146
313e_US1Com_28,US LONG BOND(CBT),fi-us,US1 Comdty,2000-03-13,2000-03-14,30.9375,31.03125,19678312.5,638.0,61771.87500000001,0.09375,0.5120339464679314,0.18309332935188807
313e_NQ1Ind_9,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-03-16,2000-03-17,6614.25,6857.75,16511875.0,125.0,555180.0,243.5,127.92290801391609,1.9034901862417861
313e_US1Com_29,US LONG BOND(CBT),fi-us,US1 Comdty,2000-03-27,2000-03-28,32.625,32.875,21517203.125,659.0,170225.0,0.25,0.43657091197674724,0.5726446566676333
313e_NQ1Ind_10,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-03-30,2000-04-05,6908.75,6517.75,16309370.0,118.0,-897710.0,-391.0,144.74368225463786,-2.7013268828696777
313e_NQ1Ind_11,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-04-06,2000-04-10,6479.25,6782.75,14208695.0,109.0,673560.0,303.5,154.2829146832464,1.9671653249687868
313e_NQ1Ind_12,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-04-17,2000-04-19,5649.75,6176.75,10300745.0,91.0,832660.0,527.0,170.72923315188754,3.0867590176028012
313e_NQ1Ind_13,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-04-25,2000-04-26,5858.75,6092.25,10429465.0,89.0,401620.0,233.5,186.4784099257097,1.2521556790033925
313e_US1Com_30,US LONG BOND(CBT),fi-us,US1 Comdty,2000-05-02,2000-05-03,33.03125,32.4375,20385750.0,616.0,-364443.75000000006,-0.59375,0.5961667401594682,-0.9959462009591112
313e_US1Com_31,US LONG BOND(CBT),fi-us,US1 Comdty,2000-05-08,2000-05-09,30.3125,29.5,17566106.25,582.0,-478156.25000000006,-0.8125,0.6171776106802632,-1.316476790375544
313e_NQ1Ind_14,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-05-11,2000-05-15,5692.25,5852.25,11389500.0,100.0,316350.0,160.0,174.8417235372428,0.9151133766187028
313e_US1Com_32,US LONG BOND(CBT),fi-us,US1 Comdty,2000-05-16,2000-05-17,30.75,30.96875,17418225.0,568.0,124884.37500000001,0.21875,0.6201684134327831,0.3527267678615967
313e_US1Com_33,US LONG BOND(CBT),fi-us,US1 Comdty,2000-05-18,2000-05-19,30.5,29.78125,17884453.125,578.0,-404800.00000000006,-0.71875,0.5893622500992949,-1.219538577299286
313e_NQ1Ind_15,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-05-24,2000-05-30,5457.25,5601.75,11236785.0,103.0,296800.0,144.5,138.0995898275092,1.0463463373098003
313e_US1Com_34,US LONG BOND(CBT),fi-us,US1 Comdty,2000-06-22,2000-06-23,33.34375,33.3125,21717403.125,650.0,-20968.75,-0.03125,0.5259898250466732,-0.05941179565066122
313e_NQ1Ind_16,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-06-27,2000-07-03,6216.25,6188.75,15909760.0,128.0,-70970.0,-27.5,122.08056819813262,-0.2252610747630895
313e_NQ1Ind_17,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-07-12,2000-07-13,6193.25,6322.25,18999750.0,154.0,384420.0,129.0,88.66612419039942,1.4548961193227374
313e_NQ1Ind_18,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-07-24,2000-07-28,6321.25,6092.25,19231800.0,152.0,-713700.0,-229.0,91.12583838326314,-2.5130084294737185
313e_NQ1Ind_19,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-07-31,2000-08-04,5895.25,6050.75,17180145.0,141.0,454070.0,155.5,105.05398361644444,1.4801913706360306
313e_NQ1Ind_20,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-08-11,2000-08-15,6014.25,6130.75,19136445.0,159.0,382030.0,116.5,100.38460250981022,1.1605365473117741
313e_US1Com_35,US LONG BOND(CBT),fi-us,US1 Comdty,2000-08-16,2000-08-17,36.5625,36.1875,29776621.875000004,815.0,-308550.0,-0.375,0.4321215449445463,-0.8678113933155621
313e_US1Com_36,US LONG BOND(CBT),fi-us,US1 Comdty,2000-08-18,2000-08-21,36.625,37.0,30411975.000000004,840.0,320925.0,0.375,0.2894278896192834,1.2956595181386255
313e_US1Com_37,US LONG BOND(CBT),fi-us,US1 Comdty,2000-08-29,2000-08-30,36.6875,36.40625,32527137.500000004,887.0,-251212.50000000003,-0.28125,0.31802678532508694,-0.884359472151084
313e_NQ1Ind_21,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-09-06,2000-09-12,6399.75,6107.25,27207555.0,213.0,-1109290.0,-292.5,53.590700293005085,-5.458036532472379
313e_NQ1Ind_22,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-09-13,2000-09-19,6051.25,5980.75,22596825.0,185.0,-278320.0,-70.5,74.99668413722641,-0.9400415606508878
313e_US1Com_38,US LONG BOND(CBT),fi-us,US1 Comdty,2000-09-18,2000-09-19,35.125,34.6875,27562631.250000004,785.0,-347943.75,-0.4375,0.41523156091225777,-1.0536289655796365
313e_US1Com_39,US LONG BOND(CBT),fi-us,US1 Comdty,2000-09-20,2000-09-21,34.9375,34.46875,28006687.500000004,807.0,-381046.87500000006,-0.46875,0.4157263924604215,-1.1275444823836305
313e_NQ1Ind_23,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-09-26,2000-09-29,6001.75,6052.25,22549660.0,188.0,206210.0,50.5,87.19562096682053,0.5791575246561538
313e_NQ1Ind_24,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2000-10-04,2000-10-10,5721.25,5668.75,20360530.0,178.0,-200820.0,-52.5,91.54792748236164,-0.5734701095239438
