Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Trade_PnL,Price_PnL,20d_Price_Vol,Std_PnL
be20_US1Com_1,US LONG BOND(CBT),fi-us,US1 Comdty,1980-05-05,1980-05-15,-43.84375,-45.65625,-5262031.25,119.0,-246500.0,-1.8125,0.9733430484505996,-1.8621389477072845
be20_SB1Com_1,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-05-12,1980-05-22,54.75,55.83,1371720.0,23.0,8903.999999999956,1.0799999999999983,0.8889762000247973,1.2148806683124616
be20_SB1Com_2,SUGAR #11 (WORLD),comm-soft,SB1 Comdty,1980-05-27,1980-06-06,58.32,52.6,1032192.0,16.0,-105951.99999999999,-5.719999999999999,1.3107490827365618,-4.363916843685956
be20_BO1Com_1,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-06-24,1980-07-07,54.64,57.27,5085240.0,155.0,234906.0000000001,2.6300000000000026,0.26303091673393597,9.998824596959187
be20_S1Comd_1,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-06-24,1980-07-07,229.0625,297.5625,1021781.25,90.0,292900.0,68.5,5.058392583253674,13.541851264525464
be20_GC1Com_1,GOLD 100 OZ FUTR ,comm-prec,GC1 Comdty,1980-06-30,1980-07-11,1824.1,1840.6,16631160.0,91.0,146800.0,16.5,15.09433058434435,1.0931256545496355
be20_SM1Com_1,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-07-01,1980-07-14,-437.6,-409.0,-8216780.0,187.0,319870.00000000035,28.600000000000023,1.052615789355265,27.170407559170034
be20_C1Comd_1,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-07-03,1980-07-16,1094.0625,1115.0625,12121893.75,222.0,181700.0,21.0,1.8319173159920676,11.463399475880566
be20_S1Comd_2,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-07-08,1980-07-18,308.0625,361.5625,907565.625,61.0,106675.0,53.5,7.469180096623018,7.16276744005524
be20_BO1Com_2,SOYBEAN OIL FUTR ,comm-soft,BO1 Comdty,1980-07-08,1980-07-18,57.19,59.85,4123440.0000000005,120.0,176472.0000000003,2.6600000000000037,0.324507724342417,8.197031381580308
be20_SM1Com_2,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-07-15,1980-07-25,-410.1,-425.4,-2740300.0,67.0,-91899.99999999968,-15.299999999999955,3.516951431058021,-4.350358627328892
be20_C1Comd_2,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-07-18,1980-07-30,1116.8125,1116.5625,7892915.625,141.0,-6075.0,-0.25,3.5202422165467384,-0.07101784042725423
be20_FC1Com_1,CATTLE FEEDER FUT,comm-soft,FC1 Comdty,1980-07-28,1980-08-07,194.25,192.275,4821250.0,50.0,-51562.49999999986,-1.9749999999999943,1.0233547450471545,-1.9299270458837707
be20_C1Comd_3,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-08-01,1980-08-13,1131.0625,1134.5625,6139765.625,109.0,17637.5,3.5,5.0516412132462865,0.6928441376284579
be20_C1Comd_4,CORN FUTURE      ,comm-soft,C 1 Comdty,1980-08-27,1980-09-09,1141.3125,1148.8125,6348159.375,111.0,41812.5,7.5,4.9552437669073015,1.5135481426942894
be20_SM1Com_3,SOYBEAN MEAL FUTR,comm-soft,SM1 Comdty,1980-09-02,1980-09-12,-391.5,-389.2,-2335810.0,59.0,12890.000000000087,2.3000000000000114,4.148972605864077,0.5543541060621215
be20_S1Comd_3,SOYBEAN FUTURE   ,comm-soft,S 1 Comdty,1980-09-22,1980-10-02,409.3125,337.0625,813759.375,39.0,-138675.0,-72.25,11.547242778666853,-6.256904906639659
