Trade_ID,Descr,AssetClass,Asset,FirstDate,LastDate,TradeEntry,TradeExit,USD_Notional,Num_Lots,Trade_PnL,Price_PnL,20d_Price_Vol,Std_PnL
97fa_WN1Com_1,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-01-14,2010-01-15,95.125,96.8125,0.0,0.0,0.0,1.6875,1.0035542818134218,0.0
97fa_NQ1Ind_1,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-01-25,2010-01-29,3720.5,3703.5,57714250.0,775.0,-297655.0,-17.0,18.99156235777949,-0.895134359129559
97fa_WN1Com_2,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-01-28,2010-01-29,98.125,98.4375,44395312.5,451.0,147125.0,0.3125,1.0035542818134218,0.31139322073870557
97fa_NQ1Ind_2,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-02-01,2010-02-03,3665.75,3694.75,56070990.0,757.0,436740.0,29.0,20.739058624526155,1.3983276929312691
97fa_WN1Com_3,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-02-04,2010-02-05,97.40625,98.625,35908950.0,370.0,407550.00000000006,1.21875,1.0035542818134218,1.2144335608809518
97fa_NQ1Ind_3,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-02-09,2010-02-12,3659.75,3699.0,51829140.0,708.0,571115.0,39.25,23.06311420519916,1.7018516949090856
97fa_WN1Com_4,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-02-11,2010-02-12,98.09375,96.90625,31954690.625000004,329.0,-398406.25000000006,-1.1875,1.0035542818134218,-1.1832942388070813
97fa_WN1Com_5,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-02-16,2010-02-17,97.21875,96.5,33578015.625,346.0,-257743.75000000003,-0.71875,0.9418211816252036,-0.763149113677532
97fa_WN1Com_6,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-02-19,2010-02-22,96.5,95.53125,33418000.000000004,352.0,-333540.625,-0.96875,0.9422303903783995,-1.028145568103519
97fa_NQ1Ind_4,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-02-26,2010-03-01,3738.75,3747.0,64240315.0,859.0,146355.0,8.25,21.02753520605919,0.39234270299177626
97fa_WN1Com_7,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-03-04,2010-03-05,98.40625,98.96875,35972200.0,365.0,210993.75000000003,0.5625,1.055662013233502,0.532840997353933
97fa_WN1Com_8,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-03-10,2010-03-11,96.53125,96.46875,35640859.375,369.0,-23856.250000000004,-0.0625,0.9530656797761136,-0.06557785190070216
97fa_NQ1Ind_5,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-03-16,2010-03-17,3845.5,3857.0,82447520.0,1072.0,253230.0,11.5,10.616862208668223,1.083182561285455
97fa_WN1Com_9,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-03-25,2010-03-26,96.15625,95.6875,35445093.75,369.0,-172734.375,-0.46875,0.844748434602372,-0.5548989270641778
97fa_WN1Com_10,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-04-06,2010-04-07,94.4375,94.21875,37066425.0,394.0,-89271.875,-0.21875,0.8105286687476528,-0.2698855801584297
97fa_NQ1Ind_6,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-04-14,2010-04-15,3938.25,3954.5,121036300.0,1540.0,457600.0,16.25,8.742844818837222,1.8586627507087805
97fa_WN1Com_11,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-04-27,2010-04-28,97.9375,99.3125,40553493.75,416.0,488537.50000000006,1.375,0.8438170051367152,1.6295002253210369
97fa_NQ1Ind_7,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-05-07,2010-05-11,3812.5,3868.25,41120310.0,539.0,598160.0,55.75,28.68965061884743,1.9432094430378144
97fa_WN1Com_12,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-05-12,2010-05-13,103.15625,101.5625,20802925.0,202.0,-327834.375,-1.59375,1.692289590580808,-0.9417714372709766
97fa_NQ1Ind_8,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-05-19,2010-05-25,3814.75,3738.25,35188130.0,461.0,-731385.0,-76.5,37.90308581730039,-2.0183053266096485
97fa_NQ1Ind_9,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-06-09,2010-06-14,3723.0,3778.5,32215200.0,433.0,491640.0,55.5,34.792183786470396,1.5951858710743598
97fa_NQ1Ind_10,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-06-24,2010-06-30,3800.25,3694.25,40398480.0,531.0,-1192780.0,-106.0,32.052177855227114,-3.3071075693757694
97fa_NQ1Ind_11,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-07-01,2010-07-08,3666.5,3718.75,37385810.0,506.0,580445.0,52.25,29.61243904261494,1.7644612091833296
97fa_WN1Com_13,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-07-12,2010-07-13,111.34375,111.3125,30235115.625000004,272.0,-8765.625,-0.03125,1.1366029484105378,-0.02749420986783556
97fa_WN1Com_14,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-07-14,2010-07-15,110.0625,111.84375,31100712.500000004,279.0,491803.12500000006,1.78125,1.0250699490734387,1.7376862931257255
97fa_NQ1Ind_12,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-07-19,2010-07-21,3730.75,3770.0,40830815.0,547.0,443525.0,39.25,26.247368289129817,1.4953880163389615
97fa_WN1Com_15,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-07-27,2010-07-28,111.34375,110.625,33236156.250000004,297.0,-211096.87500000003,-0.71875,1.1086578018985513,-0.648306446560117
97fa_NQ1Ind_13,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-08-02,2010-08-03,3799.0,3824.0,48088900.0,634.0,312000.0,25.0,22.639084014154662,1.1042849606622431
97fa_NQ1Ind_14,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-08-13,2010-08-18,3760.25,3770.25,47194200.0,628.0,137230.0,10.0,24.75570109776855,0.4039473558234789
97fa_NQ1Ind_15,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-08-23,2010-08-27,3755.0,3696.25,54458375.0,725.0,-865785.0,-58.75,18.613145291205697,-3.1563714289469433
97fa_WN1Com_16,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-09-07,2010-09-08,118.46875,121.0,22893200.0,194.0,476128.12500000006,2.53125,1.8697679193869017,1.3537776393286278
97fa_WN1Com_17,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-09-13,2010-09-14,116.5,116.8125,21988587.5,189.0,60843.75000000001,0.3125,2.012233223369067,0.15530008965699493
97fa_WN1Com_18,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-09-20,2010-09-21,116.4375,116.46875,23917712.500000004,207.0,6600.000000000001,0.03125,1.8285157589576797,0.017090364054512516
97fa_NQ1Ind_16,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-09-22,2010-09-27,3918.25,3951.5,63554015.0,811.0,568975.0,33.25,20.544896280045993,1.6184068075482911
97fa_WN1Com_19,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-10-12,2010-10-13,119.71875,117.875,31942350.000000004,267.0,-498918.75000000006,-1.84375,1.1486861416303782,-1.6050946670106847
97fa_WN1Com_20,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-10-14,2010-10-15,117.90625,116.03125,32674950.000000004,277.0,-513562.50000000006,-1.875,1.0575676439576116,-1.7729362378971874
97fa_WN1Com_21,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-10-18,2010-10-19,114.65625,115.09375,30759884.375000004,265.0,112612.50000000001,0.4375,1.1877639942013116,0.368339166817553
97fa_NQ1Ind_17,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-10-21,2010-10-26,4017.75,4042.0,69405120.0,864.0,429450.0,24.25,17.952472890793914,1.3507888382572342
97fa_WN1Com_22,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-10-25,2010-10-26,115.78125,116.1875,32897046.875000004,285.0,117975.00000000001,0.40625,1.1144700918043142,0.36452301680190086
97fa_WN1Com_23,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-10-29,2010-11-01,113.15625,113.9375,33188100.000000004,294.0,225156.25000000003,0.78125,1.0044156212104527,0.777815461550161
97fa_WN1Com_24,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-11-08,2010-11-09,112.59375,112.71875,28917281.250000004,257.0,33137.5,0.125,1.2591962293123635,0.09926967464654929
97fa_WN1Com_25,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-11-10,2010-11-11,109.90625,109.71875,28641834.375000004,254.0,-48881.25000000001,-0.1875,1.325088440444637,-0.14149998919097345
97fa_NQ1Ind_18,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-11-24,2010-11-26,4050.0,4089.25,61019355.0,753.0,552640.0,39.25,19.604879897347693,2.0020525606642487
97fa_NQ1Ind_19,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2010-12-01,2010-12-02,4047.75,4091.75,58154410.0,718.0,586960.0,44.0,22.532199182502225,1.9527610085290286
97fa_WN1Com_26,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-12-06,2010-12-07,108.84375,109.4375,25175596.875000004,232.0,137156.25,0.59375,1.5096753133734453,0.39329648881469476
97fa_WN1Com_27,US ULTRA BOND CBT,fi-us,WN1 Comdty,2010-12-17,2010-12-20,103.90625,106.1875,23254687.500000004,226.0,451687.50000000006,2.28125,1.6326206683459958,1.3972933481916097
97fa_NQ1Ind_20,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2011-01-03,2011-01-04,4154.5,4184.25,92722170.0,1117.0,588455.0,29.75,8.239536825891195,3.6106398488949307
97fa_WN1Com_28,US ULTRA BOND CBT,fi-us,WN1 Comdty,2011-01-06,2011-01-07,104.09375,104.71875,22166925.0,213.0,136812.5,0.625,1.580849491612525,0.39535705537816684
97fa_WN1Com_29,US ULTRA BOND CBT,fi-us,WN1 Comdty,2011-01-13,2011-01-14,104.09375,105.125,25679843.750000004,245.0,259771.87500000003,1.03125,1.4254753073882704,0.7234429068360625
97fa_WN1Com_30,US ULTRA BOND CBT,fi-us,WN1 Comdty,2011-02-03,2011-02-04,102.8125,102.28125,28264843.750000004,275.0,-150768.75,-0.53125,1.1266937177212941,-0.47151234771632344
97fa_WN1Com_31,US ULTRA BOND CBT,fi-us,WN1 Comdty,2011-02-07,2011-02-08,101.15625,101.40625,29027418.750000004,284.0,72600.0,0.25,1.056781242923405,0.23656740850965302
97fa_WN1Com_32,US ULTRA BOND CBT,fi-us,WN1 Comdty,2011-02-09,2011-02-10,100.28125,101.375,30117656.250000004,297.0,317625.0,1.09375,1.0475486344067126,1.0441042678839
97fa_NQ1Ind_21,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2011-02-16,2011-02-17,4315.75,4326.5,79155440.0,917.0,202960.0,10.75,21.23943622876425,0.5061339615710437
97fa_NQ1Ind_22,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2011-02-25,2011-02-28,4244.5,4279.75,56852850.0,670.0,449085.0,35.25,24.859800963550022,1.4179518191510991
97fa_NQ1Ind_23,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2011-03-17,2011-03-22,4145.75,4193.0,48499425.0,585.0,569770.0,47.25,29.561407429459127,1.5983677405329992
97fa_WN1Com_33,US ULTRA BOND CBT,fi-us,WN1 Comdty,2011-03-22,2011-03-23,106.75,107.09375,38852343.75,363.0,128940.62500000001,0.34375,0.9491328712234357,0.3621726845862003
97fa_WN1Com_34,US ULTRA BOND CBT,fi-us,WN1 Comdty,2011-03-24,2011-03-25,107.0,106.09375,41348896.875,386.0,-356881.25,-0.90625,0.8760038884046125,-1.0345273713915495
97fa_WN1Com_35,US ULTRA BOND CBT,fi-us,WN1 Comdty,2011-03-28,2011-03-29,105.8125,106.15625,42129828.125,397.0,141040.625,0.34375,0.8597636680897291,0.39981917445262943
97fa_NQ1Ind_24,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2011-04-04,2011-04-08,4274.0,4265.75,57202845.0,669.0,-111930.0,-8.25,24.460709633807195,-0.33727557881630954
97fa_WN1Com_36,US ULTRA BOND CBT,fi-us,WN1 Comdty,2011-04-07,2011-04-08,104.34375,103.8125,44803687.5,429.0,-231412.50000000003,-0.53125,0.7403435369013358,-0.7175722803274754
97fa_WN1Com_37,US ULTRA BOND CBT,fi-us,WN1 Comdty,2011-04-11,2011-04-12,103.25,103.15625,46705243.75000001,450.0,-43621.875,-0.09375,0.6949802392116897,-0.13489592179820803
97fa_NQ1Ind_25,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2011-04-13,2011-04-19,4229.0,4225.75,67083835.0,793.0,-66190.0,-3.25,18.857045311890488,-0.17234937638669626
97fa_WN1Com_38,US ULTRA BOND CBT,fi-us,WN1 Comdty,2011-04-25,2011-04-26,106.78125,107.15625,49949453.12500001,468.0,181500.00000000003,0.375,0.6875299036558724,0.5454308212718815
97fa_NQ1Ind_26,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2011-05-03,2011-05-09,4339.5,4314.75,75225255.0,867.0,-433640.0,-24.75,15.962414736200799,-1.550517287579932
97fa_WN1Com_39,US ULTRA BOND CBT,fi-us,WN1 Comdty,2011-05-11,2011-05-12,109.5625,110.5625,53647687.50000001,488.0,490600.00000000006,1.0,0.6849459136349846,1.4599692911415942
97fa_NQ1Ind_27,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2011-05-18,2011-05-19,4278.0,4298.75,68469480.0,801.0,325360.0,20.75,19.687605471729682,1.0539626075804829
97fa_NQ1Ind_28,NASDAQ 100 E-MINI,eq-us,NQ1 Index,2011-05-25,2011-05-27,4237.5,4263.25,66883530.0,789.0,415680.0,25.75,18.560604856295328,1.3873470287939564
